"sample"	"orf"	"position"	"B"	"B.1"	"B.2"	"A"	"B.3"	"A.1"	"A.2"	"B.4"	"A.3"	"A.4"	"A.5"	"A.6"	"B.5"	"B.6"	"A.7"	"B.7"	"B.8"	"B.9"	"A.8"	"B.10"	"A.9"	"B.11"	"B.12"	"B.13"	"B.14"	"A.10"	"A.11"	"A.12"	"A.13"	"B.15"	"A.14"	"A.15"	"B.16"	"B.17"	"B.18"	"filename"
"Orf7_8314"	"Orf7"	8314	-15.0248417294299	-33.0560871735095	-29.0895660937467	-7.29538013715421	-11.2939815834671	-12.6677485878639	-11.7685001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-10.2906402454227	-10.544825109541	-32.2990208304382	-30.3328745436955	-12.4197888838898	-35.3732792941089	-11.5333543496637	-31.0828374506603	-7.71870800622109	-38.2495863856128	-11.9103871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-8.24505579956725	-14.1266769767589	-9.05779877359009	-9.52624127227039	-22.8889722356459	-10.3106467624545	-10.3584403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf7_8384"	"Orf7"	8384	-28.7648417294299	-33.0560871735095	-29.0895660937467	-23.8753801371542	-33.8239815834671	-25.6677485878639	-26.5485001566241	-35.2792121407465	-31.6105039274832	-30.1756440886497	-27.1606402454227	-28.334825109541	-32.2990208304382	-30.3328745436955	-29.3397888838898	-35.3732792941089	-31.6433543496637	-31.0828374506603	-25.7087080062211	-38.2495863856128	-30.1303871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-31.1850557995672	-25.4766769767589	-34.2877987735901	-29.3162412722704	-34.1089722356459	-30.5006467624545	-24.7284403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf39_59355"	"Orf39"	59355	-36.3648417294299	-33.0560871735095	-29.0895660937467	-28.3353801371542	-33.8239815834671	-26.6577485878639	-30.5185001566241	-35.2792121407465	-32.2405039274832	-28.8756440886497	-33.5906402454227	-28.134825109541	-32.2990208304382	-30.3328745436955	-36.5597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-35.1103871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-29.6866769767589	-34.2877987735901	-35.8762412722704	-34.1089722356459	-35.8506467624545	-27.3084403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf39_60036"	"Orf39"	60036	-36.3648417294299	-33.0560871735095	-29.0895660937467	-20.5353801371542	-33.8239815834671	-21.427748587864	-21.9385001566241	-35.2792121407465	-25.1405039274832	-35.2456440886497	-33.5906402454227	-20.184825109541	-32.2990208304382	-30.3328745436955	-28.4997888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-26.9587080062211	-38.2495863856128	-24.4203871456049	-22.8195032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-25.5277987735901	-24.9862412722704	-34.1089722356459	-30.2306467624545	-26.1184403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf40_60631"	"Orf40"	60631	-15.8848417294299	-33.0560871735095	-29.0895660937467	-13.2553801371542	-33.8239815834671	-33.9077485878639	-13.2385001566241	-15.1292121407465	-17.2405039274832	-18.5456440886497	-33.5906402454227	-32.094825109541	-32.2990208304382	-30.3328745436955	-16.9397888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-14.6987080062211	-38.2495863856128	-17.0703871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-12.9766769767589	-34.2877987735901	-16.6762412722704	-34.1089722356459	-18.3406467624545	-10.7884403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf40_61209"	"Orf40"	61209	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-18.5485001566241	-35.2792121407465	-20.9305039274832	-35.2456440886497	-18.2006402454227	-21.754825109541	-32.2990208304382	-30.3328745436955	-23.1297888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-17.0087080062211	-38.2495863856128	-21.6103871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-15.9466769767589	-34.2877987735901	-20.7762412722704	-34.1089722356459	-27.0106467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf40_61476"	"Orf40"	61476	-36.3648417294299	-33.0560871735095	-29.0895660937467	-12.6253801371542	-33.8239815834671	-33.9077485878639	-14.3885001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-13.9206402454227	-15.524825109541	-32.2990208304382	-30.3328745436955	-15.1897888838898	-26.7632792941089	-34.3133543496637	-31.0828374506603	-15.9687080062211	-38.2495863856128	-20.3903871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-12.0666769767589	-34.2877987735901	-14.7462412722704	-34.1089722356459	-17.2906467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf40_62028"	"Orf40"	62028	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-12.2585001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-33.5906402454227	-17.024825109541	-32.2990208304382	-30.3328745436955	-36.5597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-14.4487080062211	-38.2495863856128	-19.9003871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-15.1477987735901	-14.3762412722704	-34.1089722356459	-17.7606467624545	-19.2884403494351	-36.297133346855	-35.2883132227255	-14.5530710620219	"dCT.xlsx"
"Orf40_62161"	"Orf40"	62161	-20.6548417294299	-17.9760871735095	-3.78956609374669	-8.71538013715421	-14.4639815834671	-33.9077485878639	-8.93850015662406	-28.9292121407465	-11.2505039274832	-11.6156440886497	-33.5906402454227	-8.86482510954101	-32.2990208304382	-13.8428745436955	-9.96978888388981	-35.3732792941089	-8.7933543496637	-4.5328374506603	-7.30870800622109	-11.0995863856128	-7.31038714560492	-7.20950323324018	-20.3085987608949	-7.61128944640751	-11.6725857055385	-31.3750557995672	-23.2766769767589	-13.0677987735901	-13.8162412722704	-11.2789722356459	-9.15064676245451	-8.23844034943506	-23.787133346855	-26.0483132227255	-33.3430710620219	"dCT.xlsx"
"Orf42_62756"	"Orf42"	62756	-36.3648417294299	-33.0560871735095	-29.0895660937467	-18.3453801371542	-33.8239815834671	-19.2977485878639	-16.8385001566241	-35.2792121407465	-23.4705039274832	-17.2156440886497	-33.5906402454227	-19.524825109541	-32.2990208304382	-30.3328745436955	-21.2697888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-26.9087080062211	-38.2495863856128	-20.4003871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-18.2950557995672	-33.4866769767589	-34.2877987735901	-19.6962412722704	-34.1089722356459	-19.2406467624545	-18.7584403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf42_62756.5"	"Orf42"	62756.5	-36.3648417294299	-33.0560871735095	-29.0895660937467	-6.53538013715421	-9.18398158346712	-9.07774858786395	-6.85850015662406	-10.4192121407465	-8.35050392748316	-35.2456440886497	-27.4606402454227	-7.70482510954101	-32.2990208304382	-17.7928745436955	-8.16978888388981	-35.3732792941089	-34.3133543496637	-4.40283745066029	-6.36870800622109	-10.8295863856128	-6.48038714560492	-7.79950323324018	-33.4885987608949	-32.0012894464075	-33.1925857055385	-8.47505579956724	-33.4866769767589	-34.2877987735901	-7.0362412722704	-34.1089722356459	-7.44064676245451	-8.33844034943506	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf42_62906.5"	"Orf42"	62906.5	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-10.1739815834671	-9.46774858786395	-7.29850015662407	-35.2792121407465	-34.9405039274832	-35.2456440886497	-7.02064024542272	-8.74482510954101	-32.2990208304382	-30.3328745436955	-8.93978888388981	-35.3732792941089	-34.3133543496637	-5.84283745066029	-8.65870800622109	-13.6995863856128	-6.94038714560492	-9.63950323324018	-7.47859876089495	-23.9712894464075	-33.1925857055385	-9.07505579956725	-33.4866769767589	-10.9277987735901	-8.3362412722704	-34.1089722356459	-8.06064676245451	-8.37844034943506	-33.277133346855	-26.7983132227255	-27.2130710620219	"dCT.xlsx"
"Orf43_63104"	"Orf43"	63104	-7.83484172942991	-33.0560871735095	-0.489566093746681	-3.88538013715421	-33.8239815834671	-7.10774858786395	-6.93850015662406	-9.50921214074652	-8.08050392748316	-9.93564408864972	-4.37064024542272	-6.874825109541	-32.2990208304382	-4.91287454369547	-8.54978888388981	-18.7032792941089	-5.61335434966371	0.317162549339706	-3.86870800622109	-6.9195863856128	-6.16038714560492	-3.69950323324018	-4.45859876089494	-4.44128944640751	-33.1925857055385	-9.12505579956724	-33.4866769767589	-10.2277987735901	-7.68624127227039	-9.56897223564588	-7.45064676245451	-8.85844034943506	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf42_63104.5"	"Orf42"	63104.5	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-27.717748587864	-23.5685001566241	-35.2792121407465	-25.0805039274832	-25.0156440886497	-33.5906402454227	-24.344825109541	-32.2990208304382	-30.3328745436955	-30.0797888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-24.2387080062211	-38.2495863856128	-22.2303871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-23.1866769767589	-34.2877987735901	-20.3162412722704	-34.1089722356459	-22.6606467624545	-23.2684403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf43_63567"	"Orf43"	63567	-7.88484172942992	-33.0560871735095	-29.0895660937467	-6.49538013715421	-33.8239815834671	-8.35774858786395	-6.45850015662406	-8.69921214074652	-34.9405039274832	-7.85564408864973	-33.5906402454227	-7.744825109541	-32.2990208304382	-30.3328745436955	-8.82978888388981	-35.3732792941089	-34.3133543496637	-31.0828374506603	-7.53870800622109	-23.7895863856128	-5.99038714560492	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-6.85505579956725	-33.4866769767589	-34.2877987735901	-7.4462412722704	-34.1089722356459	-6.80064676245451	-8.56844034943506	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf43_63567.5"	"Orf43"	63567.5	-36.3648417294299	-33.0560871735095	-29.0895660937467	-10.0353801371542	-33.8239815834671	-11.247748587864	-9.34850015662406	-35.2792121407465	-11.6405039274832	-10.6456440886497	-31.3706402454227	-14.074825109541	-32.2990208304382	-30.3328745436955	-15.9597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-13.5687080062211	-38.2495863856128	-11.4703871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-14.1550557995672	-33.4866769767589	-15.1977987735901	-10.5262412722704	-34.1089722356459	-13.1206467624545	-10.4284403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf43_63853"	"Orf43"	63853	-9.24484172942992	-10.6460871735095	-29.0895660937467	-5.57538013715421	-33.8239815834671	-31.6577485878639	-8.10850015662406	-23.1092121407465	-30.8805039274832	-9.72564408864972	-6.30064024542272	-6.82482510954101	-19.8290208304382	-30.3328745436955	-9.26978888388981	-18.8432792941089	-30.2033543496637	-3.68283745066029	-7.65870800622109	-10.6195863856128	-6.15038714560492	-7.60950323324018	-21.3185987608949	-6.73128944640751	-9.1125857055385	-7.60505579956725	-23.4466769767589	-9.86779877359008	-7.7462412722704	-34.1089722356459	-8.69064676245452	-8.47844034943506	-33.197133346855	-18.6183132227255	-33.3430710620219	"dCT.xlsx"
"Orf43_64036"	"Orf43"	64036	-36.3648417294299	-33.0560871735095	-29.0895660937467	-30.9953801371542	-33.8239815834671	-24.577748587864	-28.4285001566241	-32.9692121407465	-25.1405039274832	-22.8856440886497	-33.5906402454227	-30.374825109541	-32.2990208304382	-30.3328745436955	-36.5597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-28.5587080062211	-38.2495863856128	-25.0403871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-34.2877987735901	-28.1062412722704	-25.7589722356459	-35.8506467624545	-22.7284403494351	-32.507133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf43_64036.5"	"Orf43"	64036.5	-36.3648417294299	-15.8160871735095	-29.0895660937467	-25.0053801371542	-33.8239815834671	-33.9077485878639	-7.59850015662406	-25.8992121407465	-9.67050392748316	-8.76564408864973	-33.5906402454227	-9.35482510954101	-29.7390208304382	-30.3328745436955	-8.54978888388981	-35.3732792941089	-34.3133543496637	-6.43283745066029	-9.24870800622109	-13.7395863856128	-6.23038714560492	-27.3395032332402	-33.4885987608949	-32.0012894464075	-23.7925857055385	-9.67505579956725	-7.20667697675892	-10.9077987735901	-13.1462412722704	-27.3589722356459	-7.45064676245451	-9.31844034943506	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
