"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","Orf21 (36500,2)","KSHV","Orf21","KSHV dream arrayOrf21 (36500,2)","good","PP2",55.4791736989282,54.0283709941432,54.5828225477599,55.8781740758568,54.3340976056643,54.5954246353358,54.6613254984841,55.3331547356211,54.4198195794597,54.8241536328569,54.1808613296598,55.7976247454062,54.4395805778913,55.9724273169413,54.4245544439182,55.1955545614474
"CT","112511","KSHV dream array","Orf21 (36500)","KSHV","Orf21","KSHV dream arrayOrf21 (36500)","good","PP1",37.88,55.7012622128241,54.1981056141667,54.4970566979609,55.163380313199,54.3946733721532,54.3777298796922,54.4646675344557,54.7957117175683,54.3805511812679,54.793507091701,55.6413328372873,55.198121170979,54.049442099873,54.3798470958136,55.2596676507965
"CT","112511","KSHV dream array","Orf23 or 24 (39603)","KSHV","Orf23 or 24","KSHV dream arrayOrf23 or 24 (39603)","good","PP1",55.9527353234589,54.9809978483245,55.0169042195193,54.4426349741407,54.6437679873779,55.0913646430708,55.087151914835,55.641391929239,54.294156269636,54.4623506097123,54.4044318054803,54.2469932148233,55.5703360307962,55.7554645999335,54.6378972404636,32.91
"CT","112511","KSHV dream array","Orf23 or 24 (39786)","KSHV","Orf23 or 24","KSHV dream arrayOrf23 or 24 (39786)","good","PP1",54.1505838627927,54.4051215765066,55.9052025070414,54.4059043158777,54.8379656816833,35.83,54.0961515656672,54.486047109589,55.7191254212521,54.4983754674904,54.7080604950897,55.1953604812734,55.3495319169015,54.6478762812912,54.3192644044757,33.9
"CT","112511","KSHV dream array","Orf24 (41283)","KSHV","Orf24","KSHV dream arrayOrf24 (41283)","good","PP1",55.9279031255282,54.8523821723647,54.1525567332283,54.7722623376176,38.42,54.9285182985477,54.6990538821556,55.6892689908855,54.6860012635589,55.8077072077431,54.7576308595017,54.7140725320205,54.7477589724585,54.7961382078938,54.2407463183627,36.7
"CT","112511","KSHV dream array","Orf24 (41630)","KSHV","Orf24","KSHV dream arrayOrf24 (41630)","good","PP1",55.6637572408654,54.7404261631891,55.5986846140586,54.8329566447064,54.1611711960286,55.3309789220802,54.1086874594912,41.4,54.589102408383,55.0488808341324,55.6201451923698,54.1459167408757,55.4611598877236,54.4759782175533,54.4052878059447,55.3778603631072
"CT","112511","KSHV dream array","Orf25 (45767)","KSHV","Orf25","KSHV dream arrayOrf25 (45767)","good","PP1",55.0971855018288,55.3430411955342,54.6435855878517,55.5624729674309,55.4511819332838,54.5137417488731,39.94,54.0494532347657,54.4814778091386,55.6985133304261,55.6259303181432,54.8819862832315,55.9515142389573,55.3750938172452,54.9108057254925,54.9297011536546
"CT","112511","KSHV dream array","Orf25 (46047)","KSHV","Orf25","KSHV dream arrayOrf25 (46047)","good","PP1",54.1904379669577,54.2941293860786,55.8004581104033,54.7795737148263,54.9710747310892,55.1585271214135,55.1430884697475,54.3650468429551,54.0551532553509,54.4694972923025,55.9922335068695,54.6712553179823,55.5218751411885,55.6144853481092,54.5924398987554,54.9700564704835
"CT","112511","KSHV dream array","Orf26 or Orf25 (47305)","KSHV","Orf26 or Orf25","KSHV dream arrayOrf26 or Orf25 (47305)","good","PP1",36.11,54.9918232513592,54.5549486232921,54.2061309139244,54.1463656206615,54.071813990362,54.7807608530857,55.1301071117632,55.111739421729,54.5573384296149,54.0819838317111,54.9643802605569,54.4532410358079,54.5455713155679,54.6217601373792,55.8433807599358
"CT","112511","KSHV dream array","Orf27 or 26 or 25 (48071)","KSHV","Orf27 or 26 or 25","KSHV dream arrayOrf27 or 26 or 25 (48071)","good","PP1",55.7361516635865,55.4136131787673,55.8178964508697,44.71,54.3258193572983,55.4460655455478,54.7617304874584,54.8322640662082,54.395163916517,42.79,55.92313254904,54.3651551585644,55.2927810116671,55.861164748203,55.3484301972203,43.18
"CT","112511","KSHV dream array","Orf27 or 26 or 25 (48265)","KSHV","Orf27 or 26 or 25","KSHV dream arrayOrf27 or 26 or 25 (48265)","good","PP1",55.7679402101785,54.2358604501933,54.5225370582193,55.5164078543894,37.67,54.1359051382169,55.48355725687,55.338339691516,54.6340323211625,54.0462420787662,54.0173586946912,54.3170363148674,55.7179200886749,54.2916505644098,55.9295616452582,54.1515140836127
"CT","112511","KSHV dream array","Orf29 (49612)","KSHV","Orf29","KSHV dream arrayOrf29 (49612)","good","PP1",55.128669813741,54.4829033990391,54.062386169564,54.226151490584,54.1176383434795,55.896385837812,54.821720787324,54.0770137975924,54.2427208153531,54.0627810754813,55.5807076683268,55.320468374528,55.9573000743985,54.0575533783995,54.0469708736055,35.57
"CT","112511","KSHV dream array","Orf29 (49613)","KSHV","Orf29","KSHV dream arrayOrf29 (49613)","good","PP1",54.7751280236989,54.1708074910566,38.63,55.151266544126,36.39,55.094623265788,55.3223283612169,54.0550061706454,55.2567133130506,54.762930681929,54.2787482813001,55.9350833343342,54.9022452295758,55.1595493261702,55.6147832674906,35.28
"CT","112511","KSHV dream array","Orf29 (54355)","KSHV","Orf29","KSHV dream arrayOrf29 (54355)","good","PP1",54.7126189218834,54.7302962150425,44.6150719269924,55.297423908487,38.2,53.7729618642293,51.7273207648471,51.8731405845471,39.11,52.3770250429399,45.674609818384,54.1291348319501,44.15,55.2784068132751,49.3065770564787,54.5047321114689
"CT","112511","KSHV dream array","Orf30 or Orf29 (50891)","KSHV","Orf30 or Orf29","KSHV dream arrayOrf30 or Orf29 (50891)","good","PP1",55.3413896313868,35.52,55.3662227732129,54.4882524176501,55.7914933268912,54.4348073406145,55.8677305905148,35.7,36.49,55.1278494535945,54.4859876018018,55.4086346956901,54.1557443533093,54.6949616475031,35.89,35.07
"CT","112511","KSHV dream array","Orf30 or Orf29 or 31 (50984)","KSHV","Orf30 or Orf29 or 31","KSHV dream arrayOrf30 or Orf29 or 31 (50984)","good","PP1",55.0756657989696,55.3356030662544,54.8679075944237,54.5566413118504,54.1452248301357,37,36.25,54.875257271342,54.5466905380599,55.2615659236908,55.0806676670909,54.6114863362163,55.9560483032838,55.4887883188203,55.7285411432385,54.4626063075848
"CT","112511","KSHV dream array","Orf30 or Orf29 or 31 (51123)","KSHV","Orf30 or Orf29 or 31","KSHV dream arrayOrf30 or Orf29 or 31 (51123)","good","PP1",55.3895062492229,55.323641483672,55.7314797067083,54.4955848464742,54.5643933834508,54.5423230524175,55.1616731355898,55.9450446842238,55.1581737129018,55.2676912937313,54.7728920988739,55.8549437895417,54.7813662560657,54.7937468849123,54.494372703135,37.01
"CT","112511","KSHV dream array","Orf32 or 29,30,31 (51996)","KSHV","Orf32 or 29,30,31","KSHV dream arrayOrf32 or 29,30,31 (51996)","good","PP1",54.9335388168693,54.8291991176084,35.39,55.8743774201721,54.4094608174637,54.2518158522435,54.3107682620175,54.9109801594168,54.1920174588449,55.8989555458538,54.5486105405726,55.4133494272828,36.93,54.7951282653958,54.6528784669936,36.33
"CT","112511","KSHV dream array","Orf32 or 29,30,31 (52828)","KSHV","Orf32 or 29,30,31","KSHV dream arrayOrf32 or 29,30,31 (52828)","good","PP1",55.437359244097,54.8129907255061,55.5882274862379,54.0301685337909,35.02,54.444689120166,54.810832362622,36.21,54.9840829707682,34.4,54.2997287563048,55.9646303039044,54.4203445902094,35.75,54.5094415643252,33.44
"CT","112511","KSHV dream array","Orf33 or 29,30,31,32 (53424)","KSHV","Orf33 or 29,30,31,32","KSHV dream arrayOrf33 or 29,30,31,32 (53424)","good","PP1",54.8251345930621,55.9061557003297,36.9,36.53,55.0637628645636,37.51,36.8,55.0580592048354,54.614375856705,38.87,38.62,54.7461598850787,54.953005508054,55.0335167031735,55.1373576093465,34.24
"CT","112511","KSHV dream array","Orf34 (55359,2)","KSHV","Orf34","KSHV dream arrayOrf34 (55359,2)","good","PP2",55.2372054192238,54.6172560835257,55.158060118556,55.9777273898944,54.624792884104,54.2108023432083,38.06,55.9849496642128,55.4842980615795,54.8078545555472,54.2746448875405,55.2659822893329,54.1636204789393,55.0991850262508,54.3278830028139,55.5345093174838
"CT","112511","KSHV dream array","Orf34 (55359)","KSHV","Orf34","KSHV dream arrayOrf34 (55359)","good","PP1",54.3814972857945,54.6740455054678,55.0191913316958,54.151339692995,55.5129474648274,54.7674278588966,55.5604610466398,54.707706940826,54.9821214056574,55.9390901713632,55.8062933478504,54.398983176332,55.451223523356,54.8723774491809,55.0417563617229,54.0022259666584
"CT","112511","KSHV dream array","Orf37 or 34,35,36 (57765,2)","KSHV","Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (57765,2)","good","PP2",54.8641607370228,55.4213442034088,36.99,39.14,37.12,36.96,36.34,36.31,54.5996631896123,37.05,54.7382241641171,55.9720766805112,54.3013149648905,37.88,55.6909573730081,34.57
"CT","112511","KSHV dream array","Orf37 or 34,35,36 (57765)","KSHV","Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (57765)","good","PP1",37.98,55.5188553472981,35.59,55.885311590042,36.74,54.8594825351611,54.8366939430125,48.4670071844198,54.8095918502659,37,54.1471396274865,54.8993555800989,55.3703160607256,54.0556453871541,54.8864691685885,36.54
"CT","112511","KSHV dream array","Orf37 or 34,35,36 (58237)","KSHV","Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (58237)","good","PP1",34.96,54.6178958038799,34.62,55.1637686006725,34.06,37.23,35.92,34.48,54.1271121012978,33.7,54.9490195214748,55.5388459339738,54.8759450833313,33.42,55.3073363606818,32.58
"CT","112511","KSHV dream array","Orf39 (60036)","KSHV","Orf39","KSHV dream arrayOrf39 (60036)","good","PP1",54.0410072412342,54.8310926184058,55.5451416675933,55.5590336690657,37.22,38.36,54.8691028668545,54.4132948094048,55.8870369852521,55.0840195743367,55.7440955257043,55.5601570056751,54.2909897803329,55.8117977259681,54.3314225440845,32.96
"CT","112511","KSHV dream array","ORF4 (2109)","KSHV","ORF4","KSHV dream arrayORF4 (2109)","good","PP1",55.5382158281282,54.0816208366305,54.7985262800939,54.1300307894126,54.3606820562854,54.5667384825647,55.4255824452266,55.151431710925,54.6579247894697,55.6809740224853,55.577183810994,54.4173495061696,55.6359355952591,55.8761059208773,55.5189978023991,55.4020465319045
"CT","112511","KSHV dream array","ORF4 (2360)","KSHV","ORF4","KSHV dream arrayORF4 (2360)","good","PP1",55.3996445480734,55.610667173285,55.5614481694065,54.3576246388257,54.1161693544127,54.3357390728779,55.9868448660709,54.8178397850133,55.3339534937404,54.6999815446325,55.2938276031055,54.9348904103972,54.6076284879819,54.3340338827111,55.1443420755677,55.1334888935089
