"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","Orf50 or K8 (75170)","KSHV","Orf50 or K8","KSHV dream arrayOrf50 or K8 (75170)","good","PP2",44.1767707378604,44.9965457455255,44.6247232882306,45.4585716244765,44.5064607146196,44.0338502139784,44.1391453775577,44.5045237685554,45.9378889771178,44.992285378743,44.8122893483378,44.7113103130832,45.2066932935268,45.4974502227269,41.51,44.6604523272254
"CT","112511","KSHV dream array","Orf52 (77022)","KSHV","ORF52","KSHV dream arrayOrf52 (77022)","good","PP2",44.7050772509538,45.1031383522786,40.2,44.3040687018074,45.5592832835391,37.85,45.8133747745305,36.77,44.2115653860383,38.97,45.4307193146087,45.0763742639683,37.77,36.2,45.8678100681864,34.04
"CT","112511","KSHV dream array","Orf52 (77128)","KSHV","ORF52","KSHV dream arrayOrf52 (77128)","good","PP2",45.365245422814,45.8290327657014,45.6951442672871,45.2420996399596,45.7725486191921,45.8497525253333,44.6147583997808,35.33,45.6446465435438,35.52,45.6502577294596,45.7477660775185,34.25,32.88,44.8303155628964,33.02
"CT","112511","KSHV dream array","Orf54 (77844)","KSHV","Orf54","KSHV dream arrayOrf54 (77844)","good","PP2",45.9861888261512,44.481235162355,44.7936980691738,45.4427586402744,44.9681606870145,45.3354152548127,45.7601971658878,35.27,45.0734253376722,45.5433594053611,44.505355685018,44.7830385449342,44.2853937870823,45.4085262571461,44.1560709327459,33.47
"CT","112511","KSHV dream array","Orf54 (78056)","KSHV","Orf54","KSHV dream arrayOrf54 (78056)","good","PP2",44.9552916036919,44.0342181711458,34.97,45.1714495113119,45.0530033470131,45.7647132189013,44.8683820078149,44.8099635848776,44.8896266375668,45.1306530982256,44.5952734709717,45.6431359001435,45.5081913080066,36.11,45.1966709322296,34.88
"CT","112511","KSHV dream array","Orf55 (78956)","KSHV","Orf55","KSHV dream arrayOrf55 (78956)","good","PP2",44.2682976122014,45.4672834435478,45.0704490593635,45.4282988579944,45.0614659101702,45.6651589050889,45.1014718338847,44.2861233484,44.0149428052828,44.2852024948224,45.1536899683997,44.7674704212695,45.1397664812393,44.061723173596,44.0555950617418,41.58
"CT","112511","KSHV dream array","Orf55 (79193)","KSHV","Orf55","KSHV dream arrayOrf55 (79193)","good","PP2",45.9316420103423,44.8823697739281,45.4369917432778,45.8184892977588,45.450104098767,44.6569048198871,44.5069825518876,35.44,44.6866105291992,44.8390821157955,45.1271365196444,44.2092014607042,44.7858009603806,36.33,45.7350056418218,36.22
"CT","112511","KSHV dream array","Orf56 (80963)","KSHV","Orf56","KSHV dream arrayOrf56 (80963)","good","PP2",44.3473951485939,44.0662082848139,44.2549930289388,44.6481399843469,44.8304123384878,44.9215653492138,45.0315769491717,44.1946871709079,45.2489301925525,44.1313929040916,44.8013511742465,44.705670313444,45.6053682616912,44.9590648561716,45.8295585131273,45.1045515583828
"CT","112511","KSHV dream array","Orf56 (81267)","KSHV","Orf56","KSHV dream arrayOrf56 (81267)","good","PP2",44.6784155243076,44.5411865985952,45.7068068049848,45.9672123347409,44.6219202172942,45.7612107531168,44.4950079508126,44.567935930565,44.4369742763229,45.7595932851546,45.2936873105355,44.4458394991234,45.3506621536799,45.1139853489585,44.5744109889492,44.0335666444153
"CT","112511","KSHV dream array","Orf56 (81650)","KSHV","Orf56","KSHV dream arrayOrf56 (81650)","good","PP2",44.0376403722912,45.9892570199445,45.4546928289346,44.9159560995176,44.2162009500898,44.236387967132,44.8641453916207,44.9819996450096,44.1296869749203,45.9758592494763,44.4394145007245,44.7892812159844,45.0943534937687,44.9862608653493,45.2204388976097,45.5363690014929
"CT","112511","KSHV dream array","Orf56 or 57 (83216)","KSHV","Orf56 or 57","KSHV dream arrayOrf56 or 57 (83216)","good","PP2",33.98,45.2210250063799,32.98,31.74,34.12,33,31.92,30.66,45.792443336919,32.33,44.4244959885255,45.8618880212307,45.20305491006,32.86,45.9610316473991,30.66
"CT","112511","KSHV dream array","Orf58 or 59,60,61,62 (94692)","KSHV","Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (94692)","good","PP2",37.04,44.9587191296741,36.86,37,36.87,36.86,36.67,35.95,45.88133083703,34.23,44.0051961010322,44.0340315001085,45.8109112572856,35.26,45.012718800921,33.03
"CT","112511","KSHV dream array","Orf58 or 59,60,61,62 (94950)","KSHV","Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (94950)","good","PP2",37.78,44.5116393002681,34.28,37.65,37.64,36.75,34.28,34.23,44.1912343050353,34.22,44.8648383920081,44.4778818078339,36.65,32.28,45.3613055553287,32.47
"CT","112511","KSHV dream array","Orf58 or 59,60,61,62 (95417)","KSHV","Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (95417)","good","PP2",37.48,45.777466788888,39.87,41.64,38.03,36.89,39.32,39.19,45.3695421526209,35.28,44.925476054661,45.2177671566606,45.6828292454593,36.14,40.88,33.23
"CT","112511","KSHV dream array","Orf59,60,61,62 (95961)","KSHV","Orf59,60,61,62","KSHV dream arrayOrf59,60,61,62 (95961)","good","PP2",34.32,44.011462199036,36.18,36.42,35.63,34.36,35.16,35.09,34.25,33.75,45.3433410255238,45.4826488867402,36.08,33.4,45.4657586179674,32.01
"CT","112511","KSHV dream array","Orf59,60,61,62 (96407)","KSHV","Orf59,60,61,62","KSHV dream arrayOrf59,60,61,62 (96407)","good","PP2",44.6838553948328,44.9508688729256,34.68,34.61,35.56,36.38,37.87,35.83,35.56,35.59,44.7332695638761,45.5776631343178,44.4061422566883,38.61,45.785427456256,33.81
"CT","112511","KSHV dream array","ORF6 or 4 (5672)","KSHV","ORF6 or 4","KSHV dream arrayORF6 or 4 (5672)","good","PP1",45.1111506656744,45.5548680229113,45.4470281619579,37.29,44.4441580884159,37.55,45.8988274415024,36.34,44.7554255616851,41.97,44.3572639082558,44.939869124908,45.500427798368,44.4123651473783,44.8261536597274,45.474293215666
